,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Length##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,tr##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SB_SHS-125x125x6,"Steel, 45-345",0.5,21.7,1000.0,125.0,125.0,6.0,6.0,23.36
H_SB_SHS-125x125x9,"Steel, 45-345",0.5,31.7,1000.0,125.0,125.0,9.0,9.0,27.63
H_SB_SHS-125x125x12,"Steel, 45-345",0.5,39.7,1000.0,125.0,125.0,12.0,12.0,39.67
H_SB_SHS-150x150x4.5,"Steel, 45-345",0.6,20.1,1000.0,150.0,150.0,4.5,4.5,50.53
H_SB_SHS-150x150x5,"Steel, 45-345",0.6,22.3,1000.0,150.0,150.0,5.0,5.0,25.67
H_SB_SHS-150x150x6,"Steel, 45-345",0.6,26.4,1000.0,150.0,150.0,6.0,6.0,28.36
H_SB_SHS-150x150x9,"Steel, 45-345",0.6,38.2,1000.0,150.0,150.0,9.0,9.0,33.63
H_SB_SHS-175x175x4.5,"Steel, 45-345",0.7000000000000001,23.7,1000.0,175.0,175.0,4.5,4.5,48.67
H_SB_SHS-175x175x5,"Steel, 45-345",0.7000000000000001,26.2,1000.0,175.0,175.0,5.0,5.0,30.17
H_SB_SHS-175x175x6,"Steel, 45-345",0.7000000000000001,31.1,1000.0,175.0,175.0,6.0,6.0,33.36
H_SB_SHS-200x200x4.5,"Steel, 45-345",0.8,27.2,1000.0,200.0,200.0,4.5,4.5,39.63
H_SB_SHS-200x200x5,"Steel, 45-345",0.8,30.1,1000.0,200.0,200.0,5.0,5.0,34.67
H_SB_SHS-200x200x6,"Steel, 45-345",0.8,35.8,1000.0,200.0,200.0,6.0,6.0,38.36
H_SB_SHS-200x200x9,"Steel, 45-345",0.8,52.3,1000.0,200.0,200.0,9.0,9.0,45.63
H_SB_SHS-200x200x12,"Steel, 45-345",0.8,67.9,1000.0,200.0,200.0,12.0,12.0,66.67
H_SB_SHS-250x250x5,"Steel, 45-345",1.0,38.0,1000.0,250.0,250.0,5.0,5.0,86.53
H_SB_SHS-250x250x6,"Steel, 45-345",1.0,45.2,1000.0,250.0,250.0,6.0,6.0,48.36
H_SB_SHS-250x250x8,"Steel, 45-345",1.0,59.5,1000.0,250.0,250.0,8.0,8.0,57.63
H_SB_SHS-250x250x9,"Steel, 45-345",1.0,66.5,1000.0,250.0,250.0,9.0,9.0,75.79
H_SB_SHS-250x250x12,"Steel, 45-345",1.0,86.8,1000.0,250.0,250.0,12.0,12.0,84.67
