Master Status of Authors Supervision Card (AR),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Discipline,ASC No.,Revision,Unit,Building/ Item name,Part of Object,"Title
(Brief description)",Prochem/ Projomos,,,Licensor Engineer Signature,,,Owner,,,,,"Owner
Signature",REMARK,,
AR,HEC-PRCH-AR-0042,0.0,AUX3,Remote Instrument Building(RIB-11),"Ground floor
Roof",,2020-09-11 00:00:00,2020-09-25 00:00:00,14.0,,,,00-HEC-PDHP-E-0836,2020-10-08 00:00:00,04-PDHP-HEC-E-0216,2020-12-01 00:00:00,54.0,O,,,AWC
AR,HEC-PRCH-AR-0042,1.0,AUX3,,"Ground floor
Roof",,2021-03-31 00:00:00,2021-04-19 00:00:00,19.0,,,,00-HEC-PDHP-E-1618,2021-04-30 00:00:00,04-PDHP-HEC-E-0393,2021-05-19 00:00:00,19.0,O,,,APV
AR,HEC-PRCH-AR-0043,0.0,PDH,Chlorine Building(200-CH-31),Foundation,,2020-09-11 00:00:00,2020-09-25 00:00:00,14.0,,,,00-HEC-PDHP-E-0841,2020-10-08 00:00:00,01-PDHP-HEC-E-0280,2020-10-19 00:00:00,11.0,,,,Rejected
AR,HEC-PRCH-AR-0043,1.0,PDH,,Foundation,,2020-10-20 00:00:00,2020-10-28 00:00:00,8.0,,,,00-HEC-PDHP-E-0896,2020-10-29 00:00:00,01-PDHP-HEC-E-0304,2020-11-04 00:00:00,6.0,O,,,
AR,HEC-PRCH-AR-0044,0.0,PP,Pelletizing building,"Pile
Above structure(Concrete)",,2020-09-22 00:00:00,2020-09-28 00:00:00,6.0,,,,00-HEC-PDHP-E-0840,2020-10-08 00:00:00,02-PDHP-HEC-E-0641,2020-10-14 00:00:00,6.0,O,,,AWC (by PMC)
AR,HEC-PRCH-AR-0044,1.0,PP,,"Pile
Above structure(Concrete)
Steel Structure",,2021-06-22 00:00:00,2021-06-29 00:00:00,7.0,,,,00-HEC-PDHP-E-1946,2021-07-07 00:00:00,02-PDHP-HEC-E-1260,2021-07-20 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0045,0.0,AUX2,Utility substation,"Foundation
Ground floor
1st floor
Framing elevation",,2020-09-17 00:00:00,2020-09-17 00:00:00,,,,,00-HEC-PDHP-E-0736,2020-09-17 00:00:00,04-PDHP-HEC-E-0216,2020-12-01 00:00:00,75.0,O,,,AWC
AR,HEC-PRCH-AR-0046,0.0,PDH,Net Gas Compressor Shelter(200-SHT-SH-300),"Pile
Foundation
Equipment foundation(UG Part)",,2020-09-16 00:00:00,2020-09-25 00:00:00,9.0,,,,00-HEC-PDHP-E-0839,2020-10-08 00:00:00,01-PDHP-HEC-E-0281,2020-10-15 00:00:00,7.0,,,,
AR,HEC-PRCH-AR-0046,1.0,PDH,,"Pile
RC Part",,2020-11-03 00:00:00,2020-11-05 00:00:00,2.0,,,,00-HEC-PDHP-E-0966,2020-11-11 00:00:00,01-PDHP-HEC-E-0327,2020-11-23 00:00:00,12.0,O,,,
AR,HEC-PRCH-AR-0047,0.0,PP,GPVI substation,"1st Floor
Roof Floor
Roof Steel Structure",,2020-09-22 00:00:00,2020-09-28 00:00:00,6.0,,,,00-HEC-PDHP-E-0789,2020-09-29 00:00:00,02-PDHP-HEC-E-0739,2020-12-01 00:00:00,63.0,O,,,AWC
AR,HEC-PRCH-AR-0048,0.0,PDH,Reactor Effluent Compressor Shelter(200-SHT-SH-100),"Pile
Foundation
Equipment Foundation
Ground Floor",,2020-09-29 00:00:00,2020-10-06 00:00:00,7.0,,,,00-HEC-PDHP-E-0838,2020-10-08 00:00:00,01-PDHP-HEC-E-0282,2020-10-15 00:00:00,7.0,O,,,AWC
AR,HEC-PRCH-AR-0049,0.0,PDH,Refrigeration Equipment Shelter(200-SHT-CO-500),"Foundation
Equipment Foundation
Ground Floor",,2020-09-29 00:00:00,2020-10-06 00:00:00,7.0,,,,00-HEC-PDHP-E-0835,2020-10-08 00:00:00,01-PDHP-HEC-E-0283,2020-10-15 00:00:00,7.0,O,,,
AR,HEC-PRCH-AR-0049,1.0,PDH,,"RC Part
Steel Part
Micro Pile",,2021-03-10 00:00:00,2021-03-11 00:00:00,1.0,,,,00-HEC-PDHP-E-1404,2021-03-19 00:00:00,01-PDHP-HEC-E-0440 ,2021-04-01 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0050,0.0,GEN,Environmental Corrosive Category ,-,,,,,,,,,,,,,,,,
AR,HEC-PRCH-AR-0051,0.0,AUX2,Fire Water Pump Building(810-SHT-SC-300),"Foundation
Ground Floor
Equipment Foundation
Roof
Above Steel Structure",,2020-10-06 00:00:00,2020-10-09 00:00:00,3.0,,,,00-HEC-PDHP-E-0857,2020-10-15 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,109.0,O,,,AWC
AR,HEC-PRCH-AR-0052,0.0,AUX3,"Air Compressor & Air Dryer Package Shelter
(830-SHT-CH-100)","Foundation
Equipment Foundation
Ground Floor",,2020-10-06 00:00:00,2020-10-12 00:00:00,6.0,,,,00-HEC-PDHP-E-0856,2020-10-15 00:00:00,04-PDHP-HEC-E-0216,2020-12-1,47.0,O,,,AWC
AR,HEC-PRCH-AR-0052,1.0,AUX3,,"RC Part
Steel Part",,2021-07-27 00:00:00,2021-07-29 00:00:00,2.0,,,,00-HEC-PDHP-E-2116,2021-08-10 00:00:00,04-PDHP-HEC-E-0560,2021-08-20 00:00:00,10.0,,,,APV
AR,HEC-PRCH-AR-0053,0.0,PDH,Tail Gas Compressor Shelter(200-SHT-CO-400),"Ground slab
Steel frame",,2020-10-16 00:00:00,2020-10-16 00:00:00,,,,,00-HEC-PDHP-E-0904,2020-10-30 00:00:00,01-PDHP-HEC-E-0306,2020-11-05 00:00:00,6.0,O,,,AWC
AR,HEC-PRCH-AR-0054,0.0,PP,Vent Recovery Compressor Shelter(300-SHT-SH-600),"Ground slab
Steel frame",,2020-10-16 00:00:00,2020-10-16 00:00:00,,,,,00-HEC-PDHP-E-0905,2020-10-30 00:00:00,02-PDHP-HEC-E-0688,2020-11-06 00:00:00,7.0,O,,,AWC
AR,HEC-PRCH-AR-0054,1.0,PP,,"Ground slab
Steel frame",,2021-06-24 00:00:00,2021-07-01 00:00:00,7.0,,,,00-HEC-PDHP-E-1944,2021-07-07 00:00:00,02-PDHP-HEC-E-1257,2021-07-20 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0055,0.0,"PDH,PP","DSM locaion plan(PDH, PP)",DSM locaiton plan,,2020-10-12 00:00:00,2020-10-20 00:00:00,8.0,,,,00-HEC-PDHP-E-0878,2020-10-21 00:00:00,02-PDHP-HEC-E-0673,2020-11-03 00:00:00,13.0,O,,,
AR,HEC-PRCH-AR-0056,0.0,PDH,Chlorine Building(200-CH-31),"Ground floor
Roof",,2020-10-16 00:00:00,2020-10-21 00:00:00,5.0,,,,00-HEC-PDHP-E-0906,2020-10-30 00:00:00,01-PDHP-HEC-E-0307,2020-11-05 00:00:00,6.0,O,,,
AR,HEC-PRCH-AR-0057,0.0,AUX2,Phosphate Injection & BFW Treatment Package Shelter(820-SHT-CC-200),"RC Part
Steel Part",,2020-10-16 00:00:00,2020-10-21 00:00:00,5.0,,,,00-HEC-PDHP-E-0907,2020-10-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,94.0,O,,,APV
AR,HEC-PRCH-AR-0058,0.0,AUX1,Side Stream Filters Package Shelter(860-SHT-CC-200),"RC Part
Steel Part",,2020-10-19 00:00:00,2020-10-22 00:00:00,3.0,,,,00-HEC-PDHP-E-0908,2020-10-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,94.0,O,,,AWC
AR,HEC-PRCH-AR-0059,0.0,AUX1,Dosing Package Shelter(860-SHT-CC-100),"RC Part
Steel Part",,2020-10-19 00:00:00,2020-10-22 00:00:00,3.0,,,,00-HEC-PDHP-E-0909,2020-10-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,94.0,O,,,AWC
AR,HEC-PRCH-AR-0060,0.0,PDH,Chlorination System Shelter(200-SHT-CC-600),"RC Part
Steel Part",,2020-10-23 00:00:00,2020-10-29 00:00:00,6.0,,,,00-HEC-PDHP-E-0967,2020-11-11 00:00:00,01-PDHP-HEC-E-0322,2020-11-20 00:00:00,9.0,O,,,
AR,HEC-PRCH-AR-0061,0.0,AUX3,Spent Caustic Treatment Package Shelter(850-SHT-CH-200),"Ground Slab
Steel Part",,2020-10-23 00:00:00,2020-10-28 00:00:00,5.0,,,,00-HEC-PDHP-E-0910,2020-10-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,94.0,O,,,AWC
AR,HEC-PRCH-AR-0062,0.0,AUX3,Turbine Expander Shelter(830-SHT-CH-200),"Ground Slab
Steel Part",,2020-10-23 00:00:00,2020-10-28 00:00:00,5.0,,,,00-HEC-PDHP-E-0902,2020-10-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,94.0,O,,,AWC
AR,HEC-PRCH-AR-0063,0.0,PPL,Silo Building,Foundation,,2020-10-23 00:00:00,2020-10-28 00:00:00,5.0,,,,00-HEC-PDHP-E-0897,2020-10-29 00:00:00,03-PDHP-HEC-E-0232,2020-11-05 00:00:00,7.0,O,,,
AR,HEC-PRCH-AR-0064,0.0,PPL,Packaging Hall - Administrative-Social Building,"Foundation
Steel Roof",,2020-10-23 00:00:00,2020-10-28 00:00:00,5.0,,,,00-HEC-PDHP-E-0898,2020-10-29 00:00:00,03-PDHP-HEC-E-0228,2020-10-30 00:00:00,1.0,,,,
AR,HEC-PRCH-AR-0064,0.0,PPL,,"Foundation
Steel Roof",,-,-,-,,,,00-HEC-PDHP-E-0929,2020-11-05 00:00:00,03-PDHP-HEC-E-0237,2020-11-17 00:00:00,12.0,O,,,
AR,HEC-PRCH-AR-0065,0.0,PP,"Nitrogen, Ethylene & Hydrogen Compressor Shelter(300-SHT-SH-200)","RC Part
Steel Part",,2020-11-02 00:00:00,2020-11-05 00:00:00,3.0,,,,00-HEC-PDHP-E-0993,2020-11-27 00:00:00,02-PDHP-HEC-E-0763,2020-12-11 00:00:00,14.0,O,,,APV
AR,HEC-PRCH-AR-0065,1.0,PP,,"RC Part
Steel Part",,2021-06-21 00:00:00,2021-07-01 00:00:00,10.0,,,,00-HEC-PDHP-E-1945,2021-07-07 00:00:00,02-PDHP-HEC-E-1256,2021-07-20 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0066,0.0,PP,Analyzer House,RC Part,,2020-11-02 00:00:00,2020-11-16 00:00:00,14.0,,,,00-HEC-PDHP-E-0989,2020-11-26 00:00:00,02-PDHP-HEC-E-0764,2020-12-11 00:00:00,15.0,O,,,APV
AR,HEC-PRCH-AR-0067,0.0,AUX3,Main substation(1000-SS-01),Arch. Part,,2020-10-30 00:00:00,2020-11-05 00:00:00,6.0,,,,00-HEC-PDHP-E-0999,2020-11-30 00:00:00,04-PDHP-HEC-E-0251,2021-02-01 00:00:00,63.0,O,,,AWC
AR,HEC-PRCH-AR-0068,0.0,PP,GPVI substation(1000-SS-05),Arch. Part,,2020-11-02 00:00:00,2020-11-30 00:00:00,28.0,,,,00-HEC-PDHP-E-1063,2020-12-17 00:00:00,02-PDHP-HEC-E-0805,2021-01-07 00:00:00,21.0,O,,,AWC
AR,HEC-PRCH-AR-0068,1.0,PP,,Arch. Part,,2021-05-31 00:00:00,2021-06-29 00:00:00,29.0,,,,00-HEC-PDHP-E-1922,2021-07-01 00:00:00,,,,,,,
AR,HEC-PRCH-AR-0069,0.0,AUX2,Steam turbine generator shelter(820-SHT-SH-300),"RC Part
Steel Part",,2020-12-04 00:00:00,2020-12-08 00:00:00,4.0,,,,00-HEC-PDHP-E-1039,2020-12-09 00:00:00,04-PDHP-HEC-E-0227,2020-12-18 00:00:00,9.0,O,,,APV
AR,HEC-PRCH-AR-0069,1.0,AUX2,,"RC Part
Steel Part
Micro Pile",,2021-02-24 00:00:00,2021-03-08 00:00:00,12.0,,,,00-HEC-PDHP-E-1403,2021-03-19 00:00:00,04-PDHP-HEC-E-0306,2021-03-22 00:00:00,3.0,O,,,APV
AR,HEC-PRCH-AR-0070,0.0,AUX3,Propyele vapours compressor shelter(610-SHT-SO-200),"RC Part
Steel Part",,2020-12-01 00:00:00,2021-02-15 00:00:00,76.0,,,,00-HEC-PDHP-E-1250,2021-02-19 00:00:00,04-PDHP-HEC-E-0958,2022-07-14 00:00:00,510.0,O,,,AWC
AR,HEC-PRCH-AR-0071,0.0,GEN,Remove lean concrete for S.O.G. for open shelter,Lean concrete,,2020-12-30 00:00:00,2021-01-04 00:00:00,5.0,,,,00-HEC-PDHP-E-1086,2021-01-05 00:00:00,04-PDHP-HEC-E-0266,2021-02-11 00:00:00,37.0,O,,,Rejected
AR,HEC-PRCH-AR-0072,0.0,"PDH, PP, AUX3, AUX1",Operator shelter(1000-OB-45ABCD),RC part,,2021-05-14 00:00:00,2021-06-01 00:00:00,18.0,,,,00-HEC-PDHP-E-2398,2021-10-13 00:00:00,,,,,,,
AR,HEC-PRCH-AR-0073,0.0,PP,PP unit substation(1000-SS-03),Arch. Part,,2020-12-17 00:00:00,2020-12-22 00:00:00,5.0,,,,00-HEC-PDHP-E-1090,2021-01-07 00:00:00,02-PDHP-HEC-E-0831,2021-01-19 00:00:00,12.0,X,,,Rejected
AR,HEC-PRCH-AR-0073,0.0,PP,,-,,-,-,-,,,,00-HEC-PDHP-E-1169,2021-02-02 00:00:00,02-PDHP-HEC-E-0900,2021-02-22 00:00:00,20.0,X,,,Rejected
AR,HEC-PRCH-AR-0073,1.0,PP,,,,,,,,,,00-HEC-PDHP-E-1587,2021-04-28 00:00:00,02-PDHP-HEC-E-1098,2021-05-11 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0074,0.0,AUX2,Utility substation(1000-SS-01),Arch. Part,,2020-12-22 00:00:00,2021-01-11 00:00:00,20.0,,,,00-HEC-PDHP-E-1174,2021-02-03 00:00:00,04-PDHP-HEC-E-0478,2021-07-09 00:00:00,156.0,O,,,APV
AR,HEC-PRCH-AR-0075,0.0,AUX2,Raw water Treatment Building,Steel Part,,2021-04-13 00:00:00,2021-04-16 00:00:00,3.0,,,,00-HEC-PDHP-E-1617,2021-04-30 00:00:00,04-PDHP-HEC-E-0387,2021-05-18 00:00:00,18.0,O,,,APV
AR,HEC-PRCH-AR-0076,0.0,PP,CYC gas compressor shelter-2,Steel Part,,2021-03-12 00:00:00,2021-03-16 00:00:00,4.0,,,,00-HEC-PDHP-E-1397,2021-03-18 00:00:00,02-PDHP-HEC-E-0989,2021-03-25 00:00:00,7.0,O,,,APV
AR,HEC-PRCH-AR-0077,0.0,PP,CYC gas compressor shelter-1,Steel Part,,2021-03-31 00:00:00,2021-04-09 00:00:00,9.0,,,,00-HEC-PDHP-E-1568,2021-04-23 00:00:00,02-PDHP-HEC-E-1123,2021-05-19 00:00:00,26.0,O,,,APV
AR,HEC-PRCH-AR-0078,0.0,AUX6,Air Intake Station(1000-AI-43),"RC Part
Steel Part",,2021-04-13 00:00:00,2021-04-16 00:00:00,3.0,,,,00-HEC-PDHP-E-1625,2021-05-01 00:00:00,04-PDHP-HEC-E-0371,2021-05-10 00:00:00,9.0,O,,,APV
AR,HEC-PRCH-AR-0079,0.0,AUX6,Air Intake Station(1000-AI-43),Arch. Part,,2021-04-13 00:00:00,2021-04-21 00:00:00,8.0,,,,00-HEC-PDHP-E-1586,2021-04-28 00:00:00,04-PDHP-HEC-E-0385,2021-05-18 00:00:00,20.0,,,,APV
AR,HEC-PRCH-AR-0079,1.0,AUX6,,Arch. Part,,2021-05-28 00:00:00,2021-06-07 00:00:00,10.0,,,,00-HEC-PDHP-E-1829,2021-06-16 00:00:00,04-PDHP-HEC-E-0461,2021-06-29 00:00:00,13.0,O,,,APV
AR,HEC-PRCH-AR-0080,0.0,AUX3,600-P0001A/B Foundation,RC part,,2021-04-26 00:00:00,2021-04-27 00:00:00,1.0,,,,00-HEC-PDHP-E-1627,2021-05-03 00:00:00,04-PDHP-HEC-E-0372,2021-05-12 00:00:00,9.0,O,,,APV
AR,HEC-PRCH-AR-0081,0.0,AUX3,600-P0003A/B Foundation,RC part,,2021-04-26 00:00:00,2021-04-27 00:00:00,1.0,,,,00-HEC-PDHP-E-1630,2021-05-03 00:00:00,04-PDHP-HEC-E-0405,2021-05-21 00:00:00,18.0,O,,,APV
