,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_W410x114,262,419,19.3,11.6,10.2,14600,114,1.84,462000000,57400000,2200000,441000,2460000,674000,1490000,2.31E+12,0,W16x77
H_SC_W410x100,259,414,16.9,10,10.3,12600,100,1.83,397000000,49500000,1920000,380000,2130000,582000,995000,1.96E+12,0,W16x67
H_SC_W410x85,181,417,18.2,10.9,10.2,10800,85,1.52,316000000,17900000,1510000,198000,1720000,310000,924000,7.14E+11,0,W16x57
H_SC_W410x75,180,414,16,9.65,10.2,9480,75,1.51,274000000,15500000,1330000,172000,1510000,267000,633000,6.10E+11,0,W16x50
H_SC_W410x67,179,409,14.4,8.76,10.2,8580,67,1.5,244000000,13700000,1190000,153000,1350000,238000,462000,5.34E+11,0,W16x45
H_SC_W410x60,178,406,12.8,7.75,10.2,7610,60,1.49,216000000,12000000,1060000,135000,1200000,208000,330000,4.65E+11,0,W16x40
H_SC_W410x53,178,404,10.9,7.49,10.2,6840,53,1.49,186000000,10200000,926000,115000,1050000,177000,227000,3.92E+11,0,W16x36
H_SC_W410x46.1,140,404,11.2,6.99,10.2,5890,46.1,1.34,156000000,5160000,773000,73600,885000,115000,192000,1.98E+11,0,W16x31
H_SC_W410x38.8,140,399,8.76,6.35,10.24,4950,38.8,1.33,125000000,3990000,629000,57200,724000,89800,109000,1.52E+11,0,W16x26
H_SC_W360x1086,455,569,125,78,15,139000,1090,2.77,5950000000,1960000000,21000000,8640000,27200000,13400000,604000000,9.72E+13,0,W14x730
H_SC_W360x990,450,549,115,71.9,15,126000,990,2.72,5160000000,1740000000,18800000,7730000,24300000,12000000,466000000,8.19E+13,0,W14x665
H_SC_W360x900,442,531,106,66,15,115000,900,2.67,4500000000,1530000000,17000000,6930000,21600000,10700000,362000000,6.93E+13,0,W14x605
H_SC_W360x818,437,513,97,60.5,15,105000,818,2.62,3930000000,1350000000,15300000,6190000,19300000,9550000,278000000,5.88E+13,0,W14x550
H_SC_W360x744,432,498,88.9,55.6,15.1,94800,744,2.59,3420000000,1200000000,13700000,5560000,17200000,8550000,214000000,5.02E+13,0,W14x500
H_SC_W360x677,427,483,81.5,51.3,15.3,86500,677,2.54,2990000000,1070000000,12400000,4980000,15300000,7670000,164000000,4.30E+13,0,W14x455
H_SC_W360x634,424,475,77.2,47.8,15,80600,634,2.52,2750000000,982000000,11600000,4640000,14200000,7110000,138000000,3.87E+13,0,W14x426
H_SC_W360x592,422,465,72.4,45,15,75500,592,2.5,2500000000,903000000,10700000,4290000,13100000,6590000,114000000,3.46E+13,0,W14x398
H_SC_W360x551,419,455,67.6,42.2,15.2,70300,551,2.48,2260000000,828000000,9950000,3950000,12100000,6060000,92400000,3.12E+13,0,W14x370
H_SC_W360x509,417,445,62.7,39.1,15.3,65200,509,2.45,2040000000,753000000,9140000,3620000,11000000,5540000,74100000,2.77E+13,0,W14x342
H_SC_W360x463,411,434,57.4,35.8,15.2,59000,463,2.42,1800000000,670000000,8290000,3260000,9880000,4980000,56600000,2.39E+13,0,W14x311
H_SC_W360x421,409,424,52.6,32.8,15.2,53700,421,2.39,1600000000,599000000,7520000,2930000,8880000,4490000,43300000,2.09E+13,0,W14x283
H_SC_W360x382,406,417,48,30,15.2,48800,382,2.37,1420000000,537000000,6800000,2640000,7980000,4030000,32900000,1.82E+13,0,W14x257
H_SC_W360x347,404,406,43.7,27.2,15.2,44200,347,2.35,1250000000,479000000,6150000,2380000,7140000,3620000,24800000,1.58E+13,0,W14x233
H_SC_W360x314,401,399,39.6,24.9,15.3,40000,314,2.33,1110000000,429000000,5540000,2130000,6390000,3240000,18600000,1.38E+13,0,W14x211
H_SC_W360x287,399,394,36.6,22.6,15.2,36600,287,2.31,999000000,388000000,5080000,1950000,5820000,2950000,14500000,1.23E+13,0,W14x193
H_SC_W360x262,399,386,33.3,21.1,15.2,33400,262,2.3,891000000,349000000,4600000,1750000,5240000,2670000,11000000,1.09E+13,0,W14x176
H_SC_W360x237,396,381,30.2,18.9,15.3,30100,237,2.28,791000000,311000000,4160000,1580000,4700000,2390000,8200000,9.56E+12,0,W14x159
H_SC_W360x216,394,376,27.7,17.3,15.2,27500,216,2.27,712000000,282000000,3800000,1430000,4260000,2180000,6330000,8.51E+12,0,W14x145
H_SC_W360x196,373,373,26.2,16.4,15.2,25000,196,2.18,637000000,228000000,3420000,1220000,3830000,1850000,5120000,6.85E+12,0,W14x132
H_SC_W360x179,373,368,23.9,15,15.2,22800,179,2.17,574000000,206000000,3110000,1110000,3470000,1670000,3900000,6.10E+12,0,W14x120
H_SC_W360x162,371,363,21.8,13.3,15.3,20600,162,2.16,516000000,186000000,2830000,1000000,3150000,1520000,2960000,5.42E+12,0,W14x109
H_SC_W360x147,371,361,19.8,12.3,15.3,18800,147,2.15,462000000,167000000,2570000,905000,2830000,1370000,2240000,4.83E+12,0,W14x99
H_SC_W360x134,368,356,18,11.2,15.3,17100,134,2.14,416000000,151000000,2340000,818000,2570000,1240000,1690000,4.30E+12,0,W14x90
H_SC_W360x122,257,363,21.7,13,15.1,15500,122,1.7,367000000,61600000,2020000,480000,2280000,734000,2110000,1.80E+12,0,W14x82
H_SC_W360x110,257,361,19.9,11.4,15.2,14100,110,1.7,331000000,55800000,1840000,436000,2060000,664000,1610000,1.61E+12,0,W14x74
H_SC_W360x101,254,356,18.3,10.5,15,12900,101,1.68,301000000,50400000,1690000,397000,1880000,605000,1250000,1.44E+12,0,W14x68
H_SC_W360x91,254,353,16.4,9.53,15.1,11500,91,1.68,266000000,44500000,1510000,352000,1670000,537000,912000,1.26E+12,0,W14x61
H_SC_W360x79,205,353,16.8,9.4,15,10100,79,1.48,225000000,24000000,1270000,234000,1430000,361000,807000,6.82E+11,0,W14x53
H_SC_W360x72,204,351,15.1,8.64,15.1,9100,72,1.47,201000000,21400000,1150000,210000,1280000,321000,604000,6.02E+11,0,W14x48
H_SC_W360x64,203,348,13.5,7.75,14.9,8130,64,1.47,178000000,18800000,1030000,185000,1140000,283000,437000,5.24E+11,0,W14x43
H_SC_W360x57.8,172,358,13.1,7.87,10.1,7230,57.8,1.37,160000000,11100000,895000,129000,1010000,198000,332000,3.30E+11,0,W14x38
H_SC_W360x51,171,356,11.6,7.24,10.1,6450,51,1.36,142000000,9700000,796000,113000,895000,174000,237000,2.87E+11,0,W14x34
H_SC_W360x44,171,351,9.78,6.86,10.12,5710,44,1.35,121000000,8160000,688000,95400,775000,147000,158000,2.38E+11,0,W14x30
H_SC_W360x39,128,353,10.7,6.48,10.1,4960,39,1.19,102000000,3710000,578000,58200,659000,90800,149000,1.09E+11,0,W14x26
H_SC_W360x32.9,127,348,8.51,5.84,10.19,4190,32.9,1.18,82800000,2910000,475000,45900,544000,71900,86600,84300000000,0,W14x22
H_SC_W310x500,340,427,75.2,45.2,15,63800,500,2.1,1690000000,495000000,7910000,2900000,9880000,4490000,101000000,1.53E+13,0,W12x336
H_SC_W310x454,335,414,68.8,41.4,15,57700,454,2.06,1480000000,437000000,7130000,2610000,8800000,4000000,77000000,1.31E+13,0,W12x305
H_SC_W310x415,333,404,62.7,38.9,15.3,52800,415,2.03,1290000000,390000000,6440000,2340000,7880000,3610000,59500000,1.13E+13,0,W12x279
H_SC_W310x375,330,391,57.2,35.6,15.2,47800,375,2.01,1130000000,345000000,5780000,2080000,7010000,3210000,45000000,9.61E+12,0,W12x252
H_SC_W310x342,328,384,52.6,32.8,15.2,43700,342,1.99,1010000000,309000000,5260000,1880000,6330000,2900000,34900000,8.38E+12,0,W12x230
H_SC_W310x313,325,373,48.3,30,15.2,39900,313,1.96,891000000,276000000,4790000,1700000,5700000,2610000,26900000,7.30E+12,0,W12x210
H_SC_W310x283,323,366,44.2,26.9,15,36100,283,1.94,787000000,245000000,4310000,1520000,5100000,2340000,20300000,6.34E+12,0,W12x190
H_SC_W310x253,320,356,39.6,24.4,15.3,32300,253,1.92,687000000,215000000,3850000,1350000,4510000,2060000,14800000,5.40E+12,0,W12x170
H_SC_W310x226,318,348,35.6,22.1,15.2,28800,226,1.89,595000000,189000000,3420000,1190000,3980000,1820000,10700000,4.62E+12,0,W12x152
H_SC_W310x202,315,340,31.8,20.1,15.2,25700,202,1.87,516000000,166000000,3050000,1050000,3510000,1610000,7700000,3.95E+12,0,W12x136
H_SC_W310x179,312,333,28.2,18,15,22700,179,1.85,445000000,144000000,2670000,918000,3050000,1400000,5370000,3.33E+12,0,W12x120
H_SC_W310x158,310,328,25.1,15.5,15.3,20100,158,1.84,388000000,125000000,2380000,808000,2690000,1230000,3800000,2.87E+12,0,W12x106
H_SC_W310x143,310,323,22.9,14,15.2,18200,143,1.83,347000000,112000000,2150000,728000,2410000,1110000,2850000,2.53E+12,0,W12x96
H_SC_W310x129,307,318,20.6,13.1,15.2,16500,129,1.81,308000000,100000000,1930000,651000,2160000,990000,2120000,2.22E+12,0,W12x87
H_SC_W310x117,307,315,18.7,11.9,15.1,15000,117,1.81,276000000,89900000,1750000,587000,1950000,890000,1600000,1.97E+12,0,W12x79
H_SC_W310x107,305,312,17,10.9,15.3,13600,107,1.8,248000000,81200000,1600000,531000,1770000,806000,1220000,1.76E+12,0,W12x72
H_SC_W310x97,305,307,15.4,9.91,15.1,12300,97,1.79,222000000,72400000,1440000,477000,1590000,723000,907000,1.55E+12,0,W12x65
H_SC_W310x86,254,310,16.3,9.14,15.2,11000,86,1.59,198000000,44500000,1280000,351000,1420000,533000,874000,9.59E+11,0,W12x58
H_SC_W310x79,254,307,14.6,8.76,15.4,10100,79,1.59,177000000,39900000,1160000,315000,1280000,477000,658000,8.49E+11,0,W12x53
H_SC_W310x74,205,310,16.3,9.4,12.7,9420,74,1.4,163000000,23400000,1050000,228000,1180000,349000,712000,5.05E+11,0,W12x50
H_SC_W310x67,204,307,14.6,8.51,12.8,8450,67,1.39,145000000,20800000,946000,203000,1050000,311000,524000,4.43E+11,0,W12x45
H_SC_W310x60,203,302,13.1,7.49,12.8,7550,60,1.38,128000000,18400000,844000,180000,934000,275000,377000,3.87E+11,0,W12x40
H_SC_W310x52,167,318,13.2,7.62,7.6,6650,52,1.27,119000000,10200000,747000,122000,839000,188000,308000,2.36E+11,0,W12x35
H_SC_W310x44.5,166,312,11.2,6.6,7.6,5670,44.5,1.26,99100000,8450000,633000,102000,706000,157000,190000,1.93E+11,0,W12x30
H_SC_W310x38.7,165,310,9.65,5.84,7.65,4940,38.7,1.25,84900000,7200000,547000,87500,610000,134000,125000,1.63E+11,0,W12x26
H_SC_W310x32.7,102,312,10.8,6.6,7.6,4180,32.7,1.01,64900000,1940000,416000,37900,480000,60000,122000,44000000000,0,W12x22
H_SC_W310x28.3,102,310,8.89,5.97,7.61,3590,28.3,1,54100000,1570000,349000,30800,405000,48800,74900,35200000000,0,W12x19
H_SC_W310x23.8,101,305,6.73,5.59,7.67,3040,23.8,0.991,42900000,1170000,280000,23100,329000,37000,42900,26000000000,0,W12x16
H_SC_W310x21,101,302,5.72,5.08,7.58,2680,21,0.986,36900000,982000,244000,19500,285000,31100,29300,21600000000,0,W12x14
H_SC_W250x167,264,290,31.8,19.2,12.7,21200,167,1.57,298000000,98200000,2060000,742000,2410000,1130000,6290000,1.62E+12,0,W10x112
H_SC_W250x149,262,282,28.4,17.3,12.7,18900,149,1.55,259000000,86200000,1840000,655000,2130000,1000000,4540000,1.38E+12,0,W10x100
H_SC_W250x131,262,274,25.1,15.4,12.7,16800,131,1.54,222000000,74500000,1610000,570000,1850000,870000,3130000,1.16E+12,0,W10x88
H_SC_W250x115,259,269,22.1,13.5,12.7,14600,115,1.53,189000000,64100000,1410000,493000,1600000,752000,2130000,9.75E+11,0,W10x77
H_SC_W250x101,257,264,19.6,11.9,12.7,12800,101,1.51,164000000,55800000,1240000,433000,1400000,657000,1480000,8.32E+11,0,W10x68
H_SC_W250x89,257,259,17.3,10.7,12.7,11400,89,1.5,142000000,48300000,1090000,377000,1220000,574000,1030000,7.09E+11,0,W10x60
H_SC_W250x80,254,257,15.6,9.4,12.8,10200,80,1.49,126000000,42900000,983000,338000,1090000,513000,758000,6.23E+11,0,W10x54
H_SC_W250x73,254,254,14.2,8.64,12.7,9290,73,1.49,113000000,38900000,895000,306000,990000,464000,579000,5.56E+11,0,W10x49
H_SC_W250x67,204,257,15.7,8.89,12.7,8580,67,1.29,103000000,22200000,805000,218000,900000,333000,629000,3.22E+11,0,W10x45
H_SC_W250x58,203,252,13.5,8,12.7,7420,58,1.28,87000000,18700000,690000,185000,767000,282000,406000,2.66E+11,0,W10x39
H_SC_W250x49.1,202,247,11,7.37,12.7,6260,49.1,1.27,71200000,15200000,574000,151000,636000,229000,243000,2.12E+11,0,W10x33
H_SC_W250x44.8,148,267,13,7.62,7.6,5700,44.8,1.09,70800000,6950000,531000,94200,600000,145000,259000,1.11E+11,0,W10x30
H_SC_W250x38.5,147,262,11.2,6.6,7.6,4910,38.5,1.08,59900000,5870000,457000,80100,513000,123000,167000,92600000000,0,W10x26
H_SC_W250x32.7,146,259,9.14,6.1,7.66,4190,32.7,1.08,49100000,4750000,380000,65100,426000,100000,99500,73800000000,0,W10x22
H_SC_W250x28.4,102,259,10,6.35,7.7,3630,28.4,0.902,40100000,1790000,308000,35100,354000,54900,97000,27900000000,0,W10x19
H_SC_W250x25.3,102,257,8.38,6.1,7.62,3220,25.3,0.894,34100000,1480000,265000,29200,306000,45900,64900,22900000000,0,W10x17
H_SC_W250x22.3,102,254,6.86,5.84,7.64,2850,22.3,0.889,28700000,1200000,226000,23800,262000,37700,43300,18300000000,0,W10x15
H_SC_W250x17.9,101,251,5.33,4.83,7.67,2280,17.9,0.881,22400000,907000,179000,18000,206000,28500,22800,13700000000,0,W10x12
H_SC_W200x100,210,229,23.7,14.5,10.1,12700,100,1.25,113000000,36900000,990000,351000,1150000,536000,2100000,3.87E+11,0,W8x67
H_SC_W200x86,209,222,20.6,13,9.9,11000,86,1.24,94900000,31300000,852000,300000,980000,457000,1390000,3.17E+11,0,W8x58
H_SC_W200x71,206,216,17.4,10.2,10,9100,71,1.22,76600000,25300000,708000,246000,803000,375000,816000,2.50E+11,0,W8x48
H_SC_W200x59,205,210,14.2,9.14,10,7550,59,1.2,60800000,20400000,582000,200000,652000,303000,466000,1.95E+11,0,W8x40
H_SC_W200x52,204,206,12.6,7.87,10,6650,52,1.19,52900000,17700000,511000,174000,569000,264000,320000,1.66E+11,0,W8x35
H_SC_W200x46.1,203,203,11,7.24,10.1,5890,46.1,1.19,45800000,15400000,451000,152000,498000,231000,223000,1.42E+11,0,W8x31
H_SC_W200x41.7,166,205,11.8,7.24,10,5320,41.7,1.04,40800000,9030000,398000,109000,446000,166000,224000,83800000000,0,W8x28
H_SC_W200x35.9,165,201,10.2,6.22,10,4570,35.9,1.03,34400000,7620000,342000,92300,379000,140000,144000,69600000000,0,W8x24
H_SC_W200x31.3,134,210,10.2,6.35,7.6,3970,31.3,0.93,31300000,4070000,298000,60800,334000,93200,117000,40800000000,0,W8x21
H_SC_W200x26.6,133,207,8.38,5.84,7.62,3390,26.6,0.922,25800000,3320000,249000,49800,279000,76400,71600,32800000000,0,W8x18
H_SC_W200x22.5,102,206,8,6.22,7.6,2860,22.5,0.795,20000000,1420000,193000,27900,223000,43800,57000,13900000000,0,W8x15
H_SC_W200x19.3,102,203,6.48,5.84,7.62,2480,19.3,0.787,16500000,1140000,162000,22500,187000,35200,36300,11000000000,0,W8x13
H_SC_W200x15,100,200,5.21,4.32,7.59,1910,15,0.78,12800000,870000,128000,17400,145000,27200,17700,8300000000,0,W8x10
H_SC_W150x37.1,154,162,11.6,8.13,6.3,4740,37.1,0.914,22200000,7120000,274000,91900,310000,140000,192000,40300000000,0,W6x25
H_SC_W150x29.8,153,157,9.27,6.6,6.33,3790,29.8,0.902,17200000,5540000,220000,72300,246000,110000,99900,30300000000,0,W6x20
H_SC_W150x22.5,152,152,6.6,5.84,6.4,2860,22.5,0.892,12100000,3880000,159000,51000,177000,77800,42000,20500000000,0,W6x15
H_SC_W150x24,102,160,10.3,6.6,6.3,3060,24,0.704,13400000,1840000,167000,36100,192000,55600,92800,10300000000,0,W6x16
H_SC_W150x18,102,153,7.11,5.84,6.39,2290,18,0.691,9200000,1240000,120000,24600,136000,38000,37600,6630000000,0,W6x12
H_SC_W150x13.5,100,150,5.46,4.32,6.34,1730,13.5,0.681,6830000,916000,91100,18200,102000,28200,16900,4750000000,0,W6x9
H_SC_W150x13,100,148,4.95,4.32,6.35,1630,13,0.678,6200000,828000,83600,16600,93900,25600,13900,4240000000,0,W6x8.5
H_SC_W130x28.1,128,131,10.9,6.86,7.6,3590,28.1,0.747,10900000,3800000,167000,59500,190000,90600,132000,13700000000,0,W5x19
H_SC_W130x23.8,127,127,9.14,6.1,7.66,3040,23.8,0.737,8910000,3130000,140000,49200,158000,75100,79900,10900000000,0,W5x16
H_SC_W100x19.3,103,106,8.76,7.11,6.34,2470,19.3,0.599,4700000,1610000,89500,31100,103000,47900,62900,3760000000,0,W4x13
